Device Name,Device IP,Device Model,Port,<=====>,Port2,Device Name2,Device Model2,Connector Type,Functional Group
wolfridge3,172.29.205.95,N9K-C9316D-GX,Eth1/1/1,<=====>,UNKNOWN,UNKNOWN,UNKNOWN,QSFP-100G-CR4,L2_Sanity
wolfridge3,172.29.205.95,N9K-C9316D-GX,Eth1/1/2,<=====>,UNKNOWN,UNKNOWN,UNKNOWN,QSFP-100G-CR4,L2_Sanity
wolfridge3,172.29.205.95,N9K-C9316D-GX,Eth1/1/3,<=====>,UNKNOWN,UNKNOWN,UNKNOWN,QSFP-100G-CR4,L2_Sanity
wolfridge3,172.29.205.95,N9K-C9316D-GX,Eth1/1/4,<=====>,UNKNOWN,UNKNOWN,UNKNOWN,QSFP-100G-CR4,L2_Sanity
wolfridge3,172.29.205.95,N9K-C9316D-GX,Eth1/2/1,<=====>,UNKNOWN,UNKNOWN,UNKNOWN,QSFP-100G-CR4,L2_Sanity
wolfridge3,172.29.205.95,N9K-C9316D-GX,Eth1/2/2,<=====>,UNKNOWN,UNKNOWN,UNKNOWN,QSFP-100G-CR4,L2_Sanity
wolfridge3,172.29.205.95,N9K-C9316D-GX,Eth1/2/3,<=====>,UNKNOWN,UNKNOWN,UNKNOWN,QSFP-100G-CR4,L2_Sanity
wolfridge3,172.29.205.95,N9K-C9316D-GX,Eth1/2/4,<=====>,UNKNOWN,UNKNOWN,UNKNOWN,QSFP-100G-CR4,L2_Sanity
wolfridge3,172.29.205.95,N9K-C9316D-GX,Eth1/3/1,<=====>,UNKNOWN,UNKNOWN,UNKNOWN,QSFP-100G-CR4,L2_Sanity
wolfridge3,172.29.205.95,N9K-C9316D-GX,Eth1/3/2,<=====>,UNKNOWN,UNKNOWN,UNKNOWN,QSFP-100G-CR4,L2_Sanity
wolfridge3,172.29.205.95,N9K-C9316D-GX,Eth1/3/3,<=====>,UNKNOWN,UNKNOWN,UNKNOWN,QSFP-100G-CR4,L2_Sanity
wolfridge3,172.29.205.95,N9K-C9316D-GX,Eth1/3/4,<=====>,UNKNOWN,UNKNOWN,UNKNOWN,QSFP-100G-CR4,L2_Sanity
wolfridge3,172.29.205.95,N9K-C9316D-GX,Eth1/4/1,<=====>,UNKNOWN,UNKNOWN,UNKNOWN,QSFP-100G-CR4,L2_Sanity
wolfridge3,172.29.205.95,N9K-C9316D-GX,Eth1/4/2,<=====>,UNKNOWN,UNKNOWN,UNKNOWN,QSFP-100G-CR4,L2_Sanity
wolfridge3,172.29.205.95,N9K-C9316D-GX,Eth1/4/3,<=====>,UNKNOWN,UNKNOWN,UNKNOWN,QSFP-100G-CR4,L2_Sanity
wolfridge3,172.29.205.95,N9K-C9316D-GX,Eth1/4/4,<=====>,UNKNOWN,UNKNOWN,UNKNOWN,QSFP-100G-CR4,L2_Sanity
wolfridge3,172.29.205.95,N9K-C9316D-GX,Eth1/5/1,<=====>,UNKNOWN,UNKNOWN,UNKNOWN,QSFP-100G-CR4,L2_Sanity
wolfridge3,172.29.205.95,N9K-C9316D-GX,Eth1/5/2,<=====>,UNKNOWN,UNKNOWN,UNKNOWN,QSFP-100G-CR4,L2_Sanity
wolfridge3,172.29.205.95,N9K-C9316D-GX,Eth1/5/3,<=====>,UNKNOWN,UNKNOWN,UNKNOWN,QSFP-100G-CR4,L2_Sanity
